timestamp,mac_address,ap_id,ap_x,ap_y,rssi,area_name
1/15/2024 11:30,83:A1:DC:34:2A:81,AP-WRK-04,5,20,-65.6,Work Area
1/15/2024 10:30,CA:70:DB:89:16:5B,AP-WRK-04,5,20,-61,Work Area
1/15/2024 10:00,50:F7:23:C3:97:16,AP-CAF-02,15,4,-56.4,Cafeteria
1/15/2024 8:00,F0:E4:42:91:98:01,AP-LOB-02,15,5,-27.6,Lobby
1/15/2024 9:30,54:91:0D:AD:E3:6E,AP-WRK-06,35,20,-48.5,Work Area
1/15/2024 11:00,BE:C7:20:C8:54:09,AP-CAF-04,10,15,-61.9,Cafeteria
1/15/2024 9:00,75:55:78:82:F0:22,AP-CAF-05,22,15,-59.5,Cafeteria
1/15/2024 11:00,D5:BF:D2:F7:81:AA,AP-CAF-01,5,4,-62.1,Cafeteria
1/15/2024 12:00,9B:90:24:E0:00:7C,AP-WRK-03,35,5,-67,Work Area
1/15/2024 11:30,20:68:82:E5:26:DC,AP-WRK-01,5,5,-64.3,Work Area
1/15/2024 11:30,D4:9E:D0:C4:25:DB,AP-CAF-01,5,4,-59.4,Cafeteria
1/15/2024 11:30,54:91:0D:AD:E3:6E,AP-WRK-04,5,20,-67.4,Work Area
1/15/2024 9:00,B1:F4:2B:8B:69:5F,AP-WRK-05,20,20,-55,Work Area
1/15/2024 11:30,F3:B1:A4:8B:32:60,AP-WRK-02,20,5,-52.8,Work Area
1/15/2024 10:30,8E:FC:5F:DD:7A:28,AP-WRK-03,35,5,-59.1,Work Area
1/15/2024 11:30,CA:70:DB:89:16:5B,AP-WRK-06,35,20,-56.5,Work Area
1/15/2024 9:30,26:00:3B:CD:C9:09,AP-WRK-03,35,5,-66.1,Work Area
1/15/2024 11:30,B2:4C:DE:6F:1B:50,AP-WRK-04,5,20,-47.8,Work Area
1/15/2024 10:00,EA:E2:C1:11:C7:02,AP-WRK-01,5,5,-66.7,Work Area
1/15/2024 12:30,C6:B7:B6:43:87:F8,AP-CAF-03,25,4,-46.2,Cafeteria
1/15/2024 10:30,27:B1:EA:E6:46:C9,AP-WRK-03,35,5,-41,Work Area
1/15/2024 9:30,7F:C2:EF:91:04:7A,AP-LOB-01,5,5,-48.9,Lobby
1/15/2024 9:00,FF:45:8C:44:E0:6B,AP-WRK-02,20,5,-58.3,Work Area
1/15/2024 9:30,5D:17:A4:AC:C0:00,AP-WRK-04,5,20,-39.1,Work Area
1/15/2024 9:30,4D:5D:ED:F3:01:79,AP-WRK-03,35,5,-69.3,Work Area
1/15/2024 12:00,57:99:3C:22:83:37,AP-CAF-02,15,4,-58.9,Cafeteria
1/15/2024 9:00,0F:68:18:7D:B0:CD,AP-WRK-02,20,5,-60,Work Area
1/15/2024 9:00,2A:1B:F9:74:56:DA,AP-WRK-05,20,20,-59.5,Work Area
1/15/2024 12:00,39:7A:A7:B6:CC:50,AP-CAF-05,22,15,-60.2,Cafeteria
1/15/2024 8:00,F5:DA:E9:74:B2:F6,AP-CAF-04,10,15,-53.8,Cafeteria
1/15/2024 10:00,C0:83:BB:99:5F:A5,AP-WRK-06,35,20,-69.5,Work Area
1/15/2024 10:30,CA:70:DB:89:16:5B,AP-WRK-06,35,20,-53.4,Work Area
1/15/2024 9:00,62:9B:69:D6:68:75,AP-LOB-03,10,12,-32.6,Lobby
1/15/2024 8:30,D2:8B:80:7D:78:8B,AP-WRK-03,35,5,-67.3,Work Area
1/15/2024 8:30,20:01:A2:58:02:6D,AP-WRK-04,5,20,-61,Work Area
1/15/2024 11:00,B4:91:F5:97:B6:8F,AP-LOB-03,10,12,-51.4,Lobby
1/15/2024 10:30,41:67:8C:DE:6E:B4,AP-CAF-04,10,15,-46.8,Cafeteria
1/15/2024 12:00,9B:1B:81:4A:4B:1F,AP-CAF-03,25,4,-61.9,Cafeteria
1/15/2024 9:00,6D:17:6F:69:0D:BA,AP-WRK-04,5,20,-60.1,Work Area
1/15/2024 9:30,53:4F:CB:22:AD:83,AP-WRK-04,5,20,-67.5,Work Area
1/15/2024 10:30,1F:3A:86:1F:88:6E,AP-WRK-01,5,5,-68.6,Work Area
1/15/2024 9:30,B4:91:51:D3:BE:6C,AP-WRK-02,20,5,-62,Work Area
1/15/2024 8:30,19:10:12:45:14:D6,AP-WRK-04,5,20,-69.4,Work Area
1/15/2024 10:00,5D:BC:C6:5E:5F:FF,AP-CAF-02,15,4,-57.4,Cafeteria
1/15/2024 11:30,DA:D7:F9:F3:4A:3D,AP-CAF-03,25,4,-65.5,Cafeteria
1/15/2024 9:30,2B:5B:CD:23:75:D8,AP-WRK-01,5,5,-67.6,Work Area
1/15/2024 12:00,58:18:73:21:1A:50,AP-CAF-02,15,4,-58.5,Cafeteria
1/15/2024 11:00,CA:70:DB:89:16:5B,AP-WRK-06,35,20,-61.7,Work Area
1/15/2024 10:00,77:44:62:A4:49:92,AP-WRK-05,20,20,-50.6,Work Area
1/15/2024 12:00,D8:78:EB:55:D7:26,AP-CAF-05,22,15,-47.2,Cafeteria
1/15/2024 12:00,EE:8A:E5:E7:99:8B,AP-CAF-03,25,4,-54.5,Cafeteria
1/15/2024 9:30,03:08:C9:72:66:01,AP-CAF-03,25,4,-53,Cafeteria
1/15/2024 10:30,DC:1F:49:4B:46:FA,AP-CAF-05,22,15,-52.5,Cafeteria
1/15/2024 11:00,D4:93:62:68:D3:FD,AP-CAF-03,25,4,-60.6,Cafeteria
1/15/2024 10:30,6B:F8:CF:00:03:7F,AP-LOB-02,15,5,-46.8,Lobby
1/15/2024 8:30,9C:F9:99:CD:6E:C7,AP-CAF-01,5,4,-59.8,Cafeteria
1/15/2024 12:00,84:63:CE:33:5D:A9,AP-CAF-01,5,4,-58.2,Cafeteria
1/15/2024 12:00,2A:AC:FE:23:AF:FD,AP-CAF-04,10,15,-56,Cafeteria
1/15/2024 10:00,AF:1D:40:31:1B:58,AP-WRK-04,5,20,-64.3,Work Area
1/15/2024 10:00,8C:ED:15:BE:86:01,AP-WRK-06,35,20,-62.9,Work Area
1/15/2024 12:00,C2:14:B5:BD:70:48,AP-CAF-03,25,4,-53.7,Cafeteria
1/15/2024 10:00,18:06:14:D1:B7:DF,AP-WRK-04,5,20,-55.2,Work Area
